time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.821668,-1.1650,0.0210,-0.0420,1.166
2.823981,-1.2010,-0.1180,0.0360,1.207
2.826856,-1.2340,-0.2390,0.1010,1.261
2.829412,-1.2380,-0.3550,0.1850,1.301
2.831827,-1.2530,-0.4790,0.2100,1.358
2.834125,-1.2820,-0.5950,0.2290,1.432
2.837514,-1.2960,-0.6640,0.1880,1.468
2.840268,-1.3320,-0.6930,0.1510,1.509
2.841747,-1.3980,-0.7070,0.0620,1.568
2.844002,-1.4610,-0.6950,-0.0300,1.618
2.847141,-1.5390,-0.6710,-0.1520,1.686
2.849509,-1.6070,-0.6410,-0.2820,1.753
2.851698,-1.6540,-0.5840,-0.3840,1.796
2.854196,-1.6920,-0.5490,-0.4880,1.845
2.856731,-1.6840,-0.4780,-0.5360,1.831
2.859970,-1.7110,-0.4140,-0.6580,1.879
2.862010,-1.6320,-0.3630,-0.7470,1.831
2.864270,-1.5840,-0.3540,-0.7460,1.786
2.873255,-1.6070,-0.3150,-0.7030,1.782
2.874849,-1.5600,-0.3250,-0.6880,1.736
2.875368,-1.5150,-0.3480,-0.7400,1.722
2.876150,-1.5570,-0.3660,-0.7760,1.778
2.877395,-1.5580,-0.3600,-0.8090,1.792
2.879894,-1.6020,-0.3470,-0.8680,1.855
2.883248,-1.5850,-0.3620,-0.8960,1.856
2.884444,-1.6270,-0.3640,-0.8950,1.892
2.886966,-1.6280,-0.3410,-0.9440,1.913
2.889434,-1.6350,-0.3400,-0.9170,1.905
2.892534,-1.6080,-0.3290,-0.9520,1.897
2.894453,-1.5630,-0.2800,-0.8610,1.806
2.896864,-1.5300,-0.2470,-0.8240,1.755
2.899978,-1.4860,-0.2390,-0.7740,1.692
2.902069,-1.4220,-0.2210,-0.7410,1.619
2.904697,-1.3670,-0.1930,-0.7250,1.559
2.907108,-1.3450,-0.1990,-0.6880,1.524
2.909877,-1.3450,-0.1970,-0.6930,1.526
2.911934,-1.3620,-0.2000,-0.6710,1.531
2.915480,-1.3580,-0.2150,-0.6190,1.508
2.917236,-1.3710,-0.2260,-0.5610,1.498
2.919672,-1.4360,-0.2690,-0.4910,1.541
2.922299,-1.5280,-0.2940,-0.3590,1.597
2.924723,-1.6150,-0.3520,-0.2870,1.678
2.927291,-1.6780,-0.3620,-0.2230,1.731
2.929702,-1.7750,-0.3750,-0.1720,1.822
2.932848,-1.8000,-0.4230,-0.1430,1.855
2.935014,-1.8510,-0.4020,-0.0900,1.896
2.938273,-1.8880,-0.4290,-0.0780,1.938
2.940706,-1.8900,-0.4300,-0.0250,1.938
2.942372,-1.9130,-0.4450,-0.0220,1.964
2.944897,-1.8860,-0.4340,0.0160,1.935
2.947274,-1.8380,-0.4700,0.0840,1.899
2.949996,-1.8170,-0.4520,0.0990,1.875
2.952222,-1.7880,-0.4600,0.0430,1.847
2.954686,-1.7910,-0.4940,0.0730,1.859
2.957068,-1.8010,-0.4670,0.0840,1.862
2.960330,-1.7970,-0.4720,0.1290,1.862
2.962833,-1.7840,-0.4540,0.2050,1.852
2.964811,-1.7090,-0.4570,0.2640,1.789
2.967084,-1.7000,-0.3930,0.3110,1.772
2.971326,-1.6470,-0.3420,0.2940,1.708
2.972950,-1.6010,-0.3160,0.2430,1.650
2.975093,-1.5810,-0.3010,0.2080,1.623
2.977143,-1.5730,-0.2590,0.1940,1.606
2.980032,-1.5670,-0.2930,0.1680,1.603
2.984971,-1.5290,-0.2750,0.1680,1.563
2.986107,-1.4800,-0.2690,0.1230,1.509
2.987573,-1.3980,-0.2850,0.0760,1.429
2.991216,-1.3410,-0.3050,0.0110,1.375
2.993858,-1.2570,-0.3700,-0.0430,1.311
2.995500,-1.2510,-0.4070,-0.1500,1.324
2.997634,-1.1870,-0.4390,-0.1800,1.278
3.000001,-1.1350,-0.4830,-0.1980,1.249
3.002534,-1.1360,-0.5170,-0.1680,1.259
3.005306,-1.1640,-0.5350,-0.1610,1.291
3.007364,-1.2350,-0.6020,-0.0940,1.377
3.009895,-1.3000,-0.6020,-0.0050,1.433
3.012721,-1.3920,-0.6380,0.1220,1.536
3.014907,-1.4130,-0.6330,0.2030,1.562
3.017484,-1.4190,-0.6040,0.2420,1.561
3.019915,-1.4830,-0.5850,0.1940,1.606
3.022793,-1.5740,-0.5710,0.1940,1.686
3.026125,-1.6760,-0.5630,0.2660,1.788
3.028910,-1.6300,-0.5300,0.3640,1.752
3.030386,-1.6020,-0.4650,0.4430,1.726
3.032354,-1.5400,-0.4510,0.4600,1.669
3.035323,-1.4640,-0.4270,0.4220,1.582
3.039045,-1.4060,-0.3400,0.3620,1.491
3.040320,-1.2900,-0.2970,0.2720,1.351
3.042655,-1.1960,-0.2880,0.2040,1.247
3.045448,-1.1770,-0.2130,0.1550,1.206
3.048289,-1.1450,-0.2300,0.1030,1.172
3.050340,-1.0780,-0.2110,0.0800,1.101
3.052685,-1.0390,-0.2080,0.1020,1.065
3.055509,-1.0010,-0.2510,0.1190,1.039
3.059595,-1.0290,-0.2650,0.1410,1.072
3.060968,-0.9620,-0.2580,0.1960,1.015
3.062854,-0.8750,-0.2480,0.1400,0.920
3.065802,-0.7720,-0.2210,0.0970,0.809
3.068474,-0.7270,-0.2230,0.0110,0.761
3.071010,-0.7050,-0.2200,-0.0190,0.739
3.073346,-0.6520,-0.1890,0.0080,0.679
3.075703,-0.6420,-0.2240,-0.0080,0.680
3.078499,-0.6100,-0.2330,-0.0090,0.653
3.084483,-0.5830,-0.2280,-0.0140,0.626
3.085454,-0.5850,-0.2850,-0.0250,0.651
3.085906,-0.4970,-0.3060,-0.1310,0.598
3.088770,-0.4220,-0.2690,-0.2510,0.560
3.090464,-0.3470,-0.2860,-0.3500,0.570
3.094236,-0.3070,-0.2370,-0.4800,0.617
3.095378,-0.2870,-0.2340,-0.4790,0.605
3.098878,-0.2920,-0.1570,-0.5180,0.615
3.100247,-0.2610,-0.1320,-0.4890,0.570
3.103624,-0.2310,-0.0740,-0.4510,0.512
3.105335,-0.2110,-0.0150,-0.4000,0.452
3.108412,-0.2290,0.0950,-0.3690,0.445
3.110364,-0.1280,0.1220,-0.3150,0.361
3.112875,-0.0370,0.2020,-0.2390,0.315
3.115697,0.0700,0.2530,-0.2770,0.382
3.118583,0.1210,0.3040,-0.2490,0.411
3.120439,0.1670,0.3650,-0.1920,0.445
3.123419,0.1810,0.4000,-0.2160,0.489
3.126420,0.1890,0.3860,-0.1140,0.445
3.128739,0.1100,0.3730,-0.0700,0.395
3.130663,0.0950,0.3420,-0.0140,0.355
3.133558,0.0280,0.2980,0.0630,0.306
3.135782,-0.0770,0.2290,0.0750,0.253
3.138802,-0.1240,0.1630,0.1120,0.233
3.140612,-0.2070,0.0780,0.1220,0.253
3.142967,-0.2530,0.0550,0.1890,0.321
3.145439,-0.2730,0.0150,0.2010,0.339
3.148909,-0.2760,-0.0500,0.2130,0.352
3.150997,-0.2870,-0.0680,0.1910,0.351
3.153474,-0.3230,-0.1170,0.1620,0.380
3.155515,-0.3040,-0.1210,0.1300,0.352
3.159878,-0.2910,-0.1120,0.1200,0.334
3.161784,-0.2740,-0.1280,0.1030,0.319
3.163463,-0.2770,-0.1120,0.0710,0.307
3.165706,-0.2630,-0.0610,0.0450,0.274
3.168679,-0.2560,-0.0290,0.0630,0.265
3.170789,-0.2300,0.0100,0.0940,0.249
3.173281,-0.2230,0.0490,0.0930,0.247
3.175480,-0.1820,0.0890,0.1230,0.237
3.179203,-0.1790,0.1570,0.1320,0.272
3.190037,-0.1400,0.1680,0.1280,0.253
3.191522,-0.0850,0.2580,0.1250,0.299
3.192476,-0.0600,0.2760,0.1500,0.320
3.193119,-0.0070,0.2770,0.1610,0.320
3.193812,0.0280,0.3000,0.1920,0.357
3.194455,0.0980,0.2960,0.1910,0.366
3.200088,0.1300,0.3210,0.2160,0.408
3.201047,0.1460,0.3390,0.2470,0.444
3.201601,0.1590,0.3570,0.2940,0.489
3.204247,0.1840,0.4110,0.2660,0.523
3.205872,0.1720,0.3950,0.2660,0.506
3.209125,0.1740,0.3950,0.2760,0.512
3.211015,0.1840,0.4220,0.2750,0.536
3.215272,0.1410,0.4230,0.2650,0.519
3.216066,0.1350,0.4230,0.2960,0.534
3.219056,0.0930,0.4290,0.2740,0.517
3.221125,0.0560,0.3640,0.2650,0.454
3.223438,0.0220,0.3720,0.2050,0.425
3.226272,-0.0240,0.3210,0.1460,0.353
3.229069,-0.0460,0.3050,0.1270,0.334
3.230845,-0.0630,0.2790,0.0470,0.290
3.233239,-0.0760,0.2810,0.0060,0.291
3.237006,-0.0640,0.2380,0.0160,0.247
3.239382,-0.0840,0.2150,-0.0070,0.231
3.241704,-0.0780,0.2150,0.0470,0.233
3.243451,-0.0330,0.1940,0.0440,0.202
3.246072,-0.0560,0.1950,0.0410,0.207
3.249144,-0.0380,0.2020,0.0930,0.226
3.251001,-0.0110,0.1410,0.0760,0.161
3.253287,-0.0110,0.1370,0.0600,0.150
3.256264,0.0030,0.1590,0.0380,0.164
3.259301,0.0040,0.1640,0.0490,0.171
3.261515,0.0040,0.1330,0.0410,0.139
3.263421,-0.0180,0.1600,0.0460,0.167
3.266145,-0.0040,0.1940,0.0520,0.201
3.270253,-0.0200,0.1900,0.0330,0.194
3.271309,-0.0250,0.1590,-0.0020,0.161
3.273698,-0.0150,0.1430,-0.0480,0.152
3.276366,-0.0220,0.1440,-0.0600,0.158
3.279506,-0.0170,0.1800,-0.1070,0.210
3.283973,-0.0140,0.1490,-0.1650,0.223
3.287836,-0.0110,0.1370,-0.1880,0.233
3.288387,-0.0350,0.1260,-0.1670,0.212
3.289350,-0.0100,0.1210,-0.1420,0.187
3.291333,-0.0340,0.1170,-0.1020,0.159
3.293929,-0.0170,0.0790,-0.0320,0.087
3.296155,-0.0020,0.1080,0.0020,0.108
3.299176,-0.0090,0.1280,0.0170,0.129
3.301429,-0.0370,0.1000,0.0580,0.121
3.304514,-0.0270,0.1500,0.0890,0.176
3.306139,-0.0500,0.1220,0.1300,0.185
3.309243,-0.0550,0.1410,0.0910,0.177
3.311554,-0.0540,0.1630,0.1060,0.202
3.314951,-0.0440,0.1420,0.1390,0.204
3.316672,-0.0320,0.1700,0.1090,0.204
3.319865,-0.0490,0.1320,0.0780,0.161
3.321413,-0.0350,0.1270,0.0660,0.147
3.323985,-0.0400,0.1080,0.0040,0.115
3.326725,0.0260,0.1240,-0.0400,0.133
3.329628,0.0150,0.1070,-0.0510,0.119
3.331278,0.0480,0.0970,-0.0850,0.138
3.333890,0.0590,0.0850,-0.1270,0.164
3.337843,0.0650,0.0890,-0.1880,0.218
3.340897,0.0950,0.0740,-0.2670,0.293
3.341812,0.1010,0.0720,-0.3250,0.348
3.343805,0.1000,0.0540,-0.3780,0.395
3.346364,0.1030,0.0490,-0.4140,0.429
3.350065,0.0880,0.0100,-0.4450,0.454
3.351401,0.1630,0.0380,-0.4750,0.504
3.354233,0.1540,0.0190,-0.5610,0.582
3.357011,0.1620,0.0610,-0.5230,0.551
3.359711,0.1890,0.0660,-0.5280,0.565
3.361635,0.1730,0.0800,-0.4840,0.520
3.364210,0.1920,0.0700,-0.4870,0.528
3.366418,0.1910,0.0880,-0.4950,0.538
3.373259,0.2150,0.1050,-0.4650,0.523
3.374096,0.2440,0.1050,-0.3990,0.479
3.374394,0.2380,0.1500,-0.3530,0.451
3.377218,0.2430,0.1910,-0.3090,0.437
3.379619,0.2080,0.1900,-0.2450,0.373
3.383470,0.2370,0.1930,-0.2230,0.378
3.384405,0.2810,0.2100,-0.1780,0.393
3.387072,0.2670,0.2170,-0.1400,0.371
3.389627,0.2660,0.2290,-0.0830,0.361
3.392413,0.3050,0.2220,-0.0430,0.380
3.394354,0.3220,0.1690,0.0100,0.364
3.397142,0.3230,0.1380,-0.0210,0.352
3.400117,0.3480,0.1580,0.0420,0.384
3.402087,0.3370,0.1750,0.0370,0.382
3.404506,0.2310,0.8280,-0.1470,0.872
3.407049,0.1700,1.1780,-0.3680,1.246
3.409805,0.1860,0.7070,-0.1930,0.756
3.412352,0.1960,0.2810,-0.0210,0.343
3.414720,0.1880,-0.0310,0.0640,0.201
3.417132,0.2240,-0.1120,0.0730,0.261
3.419566,0.2350,-0.1280,0.1330,0.299
3.422230,0.2910,-0.1820,0.2140,0.404
3.424577,0.3180,-0.2730,0.3570,0.551
3.427263,0.3190,-0.2940,0.4220,0.605
3.429817,0.2990,-0.2100,0.4390,0.571
3.432080,0.2260,-0.0110,0.3100,0.384
3.434758,0.2070,0.2040,0.1300,0.318
3.437247,0.1390,0.2900,0.0270,0.323
3.439491,0.0860,0.2330,-0.0070,0.248
3.442661,0.0710,0.1400,-0.0030,0.157
3.444292,0.0440,0.0320,0.0720,0.090
3.447798,0.0410,0.0180,0.1130,0.122
3.449883,0.0860,0.0010,0.1630,0.184
3.452350,0.1150,0.0340,0.2680,0.294
3.454860,0.1670,0.0820,0.2400,0.304
3.457067,0.1500,0.1110,0.1850,0.263
3.459822,0.1260,0.1270,0.1860,0.258
3.462369,0.1280,0.1030,0.1410,0.217
3.464474,0.1100,0.0450,0.1170,0.167
3.467546,0.0910,0.0120,0.1080,0.142
3.472419,0.0780,-0.0120,0.1000,0.127
3.473109,0.0680,-0.0360,0.1200,0.143
3.478351,0.0250,-0.0070,0.1280,0.131
3.478972,0.0240,0.0030,0.1150,0.118
3.480745,0.0140,-0.0460,0.0990,0.110
3.483093,0.0610,-0.0270,0.0600,0.090
3.484602,0.0910,-0.0230,-0.0100,0.094
3.487557,0.0920,-0.0350,-0.1180,0.154
3.489467,0.0770,-0.0690,-0.1720,0.201
3.492123,0.0760,-0.0740,-0.2450,0.267
3.494627,0.0600,-0.0870,-0.2460,0.268
3.496993,0.0560,-0.0680,-0.2540,0.269
3.499849,0.0430,-0.0710,-0.2340,0.248
3.503714,0.0100,-0.0490,-0.1980,0.204
3.504729,0.0210,-0.0570,-0.1830,0.193
3.507226,-0.0060,-0.0730,-0.1490,0.166
3.509763,-0.0050,-0.0780,-0.1560,0.174
3.512194,0.0090,-0.0880,-0.1800,0.201
3.514926,-0.0250,-0.1020,-0.1710,0.201
3.518646,-0.0270,-0.0950,-0.1640,0.191
3.520046,-0.0340,-0.0950,-0.1400,0.173
3.522414,-0.0260,-0.0800,-0.1710,0.191
3.525870,-0.0470,-0.1140,-0.1450,0.190
3.527488,-0.0330,-0.1040,-0.1000,0.148
3.529788,-0.0470,-0.1040,-0.0810,0.140
3.532148,-0.0710,-0.1180,-0.0720,0.155
3.535094,-0.0850,-0.0850,-0.0390,0.126
3.537271,-0.0590,-0.0940,-0.0700,0.131
3.539958,-0.0570,-0.1160,-0.0750,0.149
3.542522,-0.0280,-0.1230,-0.0390,0.132
3.545133,-0.0290,-0.1110,-0.0420,0.122
3.547932,-0.0200,-0.1180,-0.0680,0.138
3.550089,0.0090,-0.1040,-0.0800,0.132
3.552656,0.0280,-0.0610,-0.0790,0.104
3.555100,0.0460,-0.0900,-0.0520,0.114
3.557498,0.0660,-0.0540,-0.0520,0.100
3.560053,0.1340,-0.0440,-0.0180,0.142
3.562963,0.1610,-0.0610,-0.0340,0.175
3.565174,0.1930,-0.0130,-0.0320,0.196
3.567359,0.2300,-0.0230,0.0300,0.233
3.570014,0.2360,-0.0180,0.0000,0.237
3.572472,0.2720,-0.0060,0.0240,0.273
3.575422,0.2950,-0.0040,-0.0030,0.295
3.577494,0.2840,-0.0450,-0.0690,0.296
3.583833,0.2800,-0.0070,-0.1210,0.305
3.584552,0.2660,-0.0480,-0.1720,0.320
3.584951,0.2600,-0.0460,-0.2330,0.352
3.587747,0.2270,-0.0410,-0.2700,0.355
3.590165,0.2190,-0.0820,-0.3340,0.408
3.594272,0.2190,-0.0700,-0.3680,0.434
3.595075,0.1750,-0.0830,-0.4050,0.449
3.597545,0.1830,-0.1040,-0.4230,0.472
3.599924,0.1860,-0.1260,-0.4690,0.520
3.603546,0.1510,-0.1120,-0.5010,0.535
3.605249,0.1300,-0.1240,-0.5170,0.547
3.608333,0.1500,-0.0960,-0.5440,0.572
3.609937,0.1600,-0.1390,-0.5050,0.548
3.612630,0.1790,-0.1300,-0.4940,0.541
3.615277,0.1530,-0.1030,-0.4840,0.518
3.618376,0.1940,-0.0890,-0.4790,0.524
3.620210,0.2030,-0.1010,-0.3970,0.457
3.623459,0.2270,-0.0650,-0.3540,0.426
3.625702,0.2600,-0.0430,-0.3710,0.455
3.628326,0.2860,-0.0410,-0.2590,0.388
3.630153,0.3560,-0.0330,-0.1850,0.403
3.632829,0.3740,-0.0400,-0.1420,0.402
3.635625,0.3790,-0.0090,-0.0790,0.387
3.638377,0.3690,-0.0090,-0.0650,0.375
3.641821,0.3880,0.0000,-0.0350,0.390
3.642690,0.3350,0.0050,-0.0190,0.336
3.645650,0.3110,0.0200,-0.0510,0.316
3.648605,0.2660,0.0060,-0.0730,0.276
3.650473,0.2560,0.0230,-0.0830,0.270
3.652820,0.2470,-0.0140,-0.1100,0.271
3.655862,0.2450,0.0210,-0.1130,0.271
3.659127,0.2660,0.0140,-0.1420,0.302
3.660771,0.2400,0.0190,-0.1640,0.291
3.663146,0.2650,-0.0140,-0.1210,0.292
3.665312,0.2840,0.0070,-0.1550,0.324
3.668954,0.3030,-0.0010,-0.1790,0.352
3.670897,0.3400,0.0100,-0.1580,0.375
3.673017,0.3490,-0.0080,-0.1360,0.375
3.675578,0.3350,-0.0230,-0.1970,0.389
3.679536,0.3450,-0.0300,-0.2210,0.411
3.683866,0.3460,-0.0460,-0.2160,0.410
3.684633,0.3440,-0.0290,-0.2260,0.413
3.687070,0.3060,-0.0560,-0.2330,0.389
3.688473,0.3140,-0.0240,-0.2480,0.401
3.690739,0.3170,-0.0240,-0.2260,0.390
3.694281,0.2940,-0.0510,-0.1960,0.357
3.695788,0.3170,-0.0120,-0.1530,0.352
3.698968,0.3200,-0.0600,-0.1580,0.362
3.700479,0.2870,-0.0430,-0.1470,0.325
3.703448,0.3240,-0.0660,-0.1240,0.353
3.705769,0.3210,-0.0260,-0.0820,0.332
3.708626,0.3550,-0.0370,-0.0940,0.369
3.710448,0.3590,-0.0030,-0.0500,0.362
3.713359,0.3240,0.0050,0.0060,0.324
3.716306,0.3330,0.0130,-0.0110,0.333
3.718906,0.2910,-0.0050,-0.0170,0.292
3.720863,0.3430,-0.0140,0.0200,0.344
3.723254,0.2660,-0.0090,0.0350,0.268
3.726022,0.2510,0.0000,0.0030,0.251
3.729034,0.2320,0.0160,0.0580,0.240
3.730658,0.2050,0.0050,0.0880,0.223
3.733559,0.1890,0.0030,0.1200,0.224
3.736856,0.1460,-0.0010,0.1030,0.179
3.739110,0.1480,0.0360,0.0970,0.181
3.740804,0.1170,0.0270,0.0970,0.154
3.743240,0.0860,0.0290,0.0560,0.107
3.745844,0.0810,0.0050,0.0390,0.090
3.749163,0.0550,-0.0050,-0.0110,0.056
3.750926,0.0620,-0.0220,0.0120,0.067
3.753293,0.0570,-0.0220,-0.0630,0.088
3.755806,0.0640,-0.0080,-0.1180,0.134
3.759223,0.0570,-0.0110,-0.1000,0.116
3.761171,0.0750,-0.0030,-0.1570,0.174
3.763431,0.0920,-0.0110,-0.1850,0.207
3.766275,0.1080,-0.0130,-0.1560,0.190
3.772671,0.1320,0.0000,-0.1870,0.229
3.773420,0.1570,-0.0230,-0.2030,0.258
3.773758,0.1830,-0.0230,-0.1920,0.266
3.776163,0.1850,-0.0140,-0.2110,0.281
3.779294,0.1860,-0.0430,-0.2030,0.279
3.783221,0.2100,-0.0380,-0.1950,0.289
3.783995,0.2210,-0.0330,-0.1930,0.295
3.785815,0.1910,-0.0260,-0.1990,0.277
3.789242,0.2100,-0.0050,-0.2270,0.309
3.792073,0.2140,-0.0120,-0.1770,0.278
3.793767,0.1850,-0.0430,-0.1450,0.239
3.796179,0.1940,-0.0480,-0.1760,0.266
3.798991,0.2150,-0.0140,-0.1920,0.289
3.801512,0.1930,-0.0100,-0.2090,0.285
3.803926,0.1560,-0.0390,-0.1960,0.254
3.806147,0.1440,-0.0170,-0.1960,0.244
3.809155,0.1170,-0.0080,-0.2250,0.254
3.810986,0.1070,-0.0030,-0.1620,0.194
3.814574,0.0850,-0.0100,-0.1640,0.185
3.816174,0.0440,-0.0100,-0.1760,0.182
3.819030,0.0560,-0.0200,-0.1740,0.184
3.821539,0.0290,-0.0200,-0.1640,0.168
3.823533,0.0170,-0.0270,-0.1330,0.137
3.826481,-0.0130,-0.0170,-0.1830,0.184
3.829822,-0.0180,-0.0560,-0.1370,0.149
3.831305,-0.0260,0.0180,-0.1540,0.157
3.833506,-0.0170,-0.0270,-0.1560,0.159
3.837074,-0.0510,-0.0010,-0.1610,0.169
3.839195,-0.0300,-0.0150,-0.1410,0.145
3.840945,-0.0340,0.0200,-0.1390,0.144
3.843662,0.0000,0.0220,-0.1170,0.119
3.846202,0.0350,0.0220,-0.0670,0.079
3.849788,0.0220,0.0250,-0.0790,0.086
3.851256,0.0900,0.0370,-0.0400,0.105
3.854024,0.1340,0.0150,-0.0070,0.135
3.856299,0.1380,0.0470,-0.0050,0.146
3.859505,0.1750,0.0660,-0.0030,0.187
3.861472,0.2090,0.0490,0.0630,0.224
3.864261,0.2220,0.0490,0.0110,0.228
3.866480,0.1890,0.0400,0.0130,0.194
3.872700,0.2530,0.0470,0.0610,0.264
3.873417,0.2390,0.0400,0.0370,0.245
3.873765,0.2620,0.0400,0.0230,0.266
3.876774,0.2680,0.0740,-0.0020,0.278
3.879474,0.2620,0.0280,0.0000,0.263
3.883180,0.2760,0.0230,-0.0020,0.277
3.884141,0.2560,0.0610,-0.0470,0.267
3.886971,0.2810,0.0570,-0.0300,0.288
3.889374,0.2540,0.0330,-0.0510,0.261
3.892113,0.2320,0.0660,-0.0480,0.246
3.894099,0.2030,0.0400,-0.0670,0.217
3.896639,0.2050,0.0250,-0.0850,0.223
3.899963,0.1710,0.0490,-0.1280,0.219
3.901720,0.1590,0.0560,-0.1440,0.222
3.904704,0.1570,0.0680,-0.1810,0.249
3.906770,0.1130,0.0390,-0.2140,0.245
3.909862,0.0560,0.0530,-0.2630,0.274
3.911862,0.0540,0.0360,-0.2460,0.254
3.914329,0.0490,0.0500,-0.2670,0.276
3.916653,0.0300,0.0210,-0.2830,0.285
3.919714,0.0300,0.0210,-0.2780,0.280
3.921305,0.0480,0.0140,-0.2320,0.237
3.924166,0.0630,0.0260,-0.2100,0.221
3.926881,0.0380,0.0360,-0.1670,0.175
3.929741,0.0640,0.0190,-0.1670,0.180
3.931400,0.0710,0.0190,-0.1960,0.209
3.934314,0.0630,0.0380,-0.1390,0.157
3.936636,0.0670,0.0380,-0.1340,0.155
3.939690,0.0590,0.0410,-0.0770,0.105
3.941485,0.0680,0.0120,-0.0960,0.118
3.944155,0.0810,0.0100,-0.0940,0.124
3.948269,0.1040,-0.0110,-0.0870,0.136
3.949777,0.0680,0.0120,-0.0610,0.092
3.952134,0.0910,0.0050,-0.0830,0.123
3.954258,0.0750,-0.0270,-0.0930,0.122
3.957124,0.0770,-0.0250,-0.1310,0.154
3.959649,0.1020,-0.0390,-0.1120,0.156
3.961930,0.1270,-0.0290,-0.1960,0.235
3.964170,0.2810,-0.1730,-0.2890,0.439
3.967036,0.2770,-0.0940,-0.3630,0.466
3.972156,0.2520,-0.0770,-0.3340,0.425
3.973550,0.2270,-0.0240,-0.2930,0.371
3.974341,0.2020,0.0030,-0.2550,0.325
3.976858,0.1720,-0.0030,-0.2630,0.314
3.982419,0.1300,-0.0150,-0.2610,0.292
3.983373,0.0910,-0.0310,-0.2440,0.262
3.984396,0.0620,-0.0840,-0.2040,0.229
3.986947,0.0660,-0.0620,-0.1760,0.198
3.989769,0.0450,-0.0280,-0.1740,0.182
3.992211,0.0400,-0.0230,-0.1340,0.142
3.994548,-0.0180,0.0260,-0.1710,0.174
3.998004,-0.0140,0.0530,-0.1540,0.163
4.000320,-0.0320,0.0700,-0.1100,0.134
4.003503,-0.0380,0.0410,-0.1110,0.124
4.004635,-0.0460,0.0390,-0.0850,0.104
4.007515,-0.0400,0.0270,-0.0880,0.100
4.009378,-0.0270,0.0350,-0.0770,0.089
4.012096,-0.0240,0.0140,-0.0400,0.049
4.014519,-0.0330,0.0350,0.0020,0.048
4.017004,-0.0180,0.0840,-0.0250,0.089
4.019981,0.0220,0.0380,-0.0090,0.045
4.022067,0.0280,0.0670,0.0010,0.073
4.025317,0.0540,0.0700,-0.0200,0.091
4.027522,0.0880,0.0390,-0.0230,0.099
4.029409,0.1290,0.0510,-0.0790,0.160
4.032287,0.2120,0.0660,-0.0220,0.223
4.035103,0.3030,0.1120,-0.0250,0.324
4.037291,0.3290,0.0740,-0.0470,0.340
4.039635,0.4120,0.0810,-0.1140,0.435
4.042078,0.4170,0.0720,-0.0160,0.423
4.044802,0.4620,0.0510,0.0060,0.465
4.047369,0.4960,0.0320,0.0130,0.497
4.049964,0.4360,0.0200,0.0310,0.438
4.052320,0.4050,0.0250,0.0120,0.406
4.054834,0.4010,0.0130,-0.0260,0.402
4.057161,0.3540,0.0420,-0.0350,0.358
4.059919,0.3660,0.0320,-0.0500,0.371
4.062366,0.3460,0.0440,-0.0620,0.354
4.064691,0.3110,0.0450,-0.0760,0.323
4.067472,0.3000,0.0000,-0.0950,0.315
4.072291,0.3020,-0.0050,-0.1470,0.336
4.073252,0.2940,-0.0190,-0.0990,0.311
4.076583,0.3090,-0.0430,-0.1060,0.329
4.077121,0.2560,-0.0410,-0.1220,0.287
4.082804,0.2430,-0.0340,-0.1150,0.271
4.083810,0.2090,-0.0220,-0.1170,0.241
4.084794,0.1890,-0.0380,-0.0880,0.212
4.087467,0.1840,-0.0840,-0.0660,0.213
4.089911,0.1590,-0.0500,-0.0730,0.182
4.092494,0.1660,-0.0620,-0.0850,0.197
4.094871,0.2010,-0.0550,-0.0560,0.216
4.097346,0.1880,-0.0550,-0.0750,0.210
4.100088,0.1780,-0.0820,-0.0500,0.202
4.103237,0.1960,-0.0840,-0.1100,0.240
4.105046,0.2120,-0.0870,-0.1020,0.251
4.107514,0.2490,-0.0360,-0.1010,0.271
4.110337,0.2310,-0.0630,-0.1240,0.270
4.112506,0.2350,-0.0700,-0.1550,0.290
4.115238,0.2440,-0.0680,-0.1320,0.286
4.117817,0.2550,-0.0780,-0.0980,0.284
4.119824,0.2350,-0.0350,-0.1360,0.274
4.122358,0.2340,-0.0180,-0.1400,0.273
4.125314,0.2330,-0.0470,-0.1130,0.263
4.127672,0.2630,-0.0180,-0.1190,0.289
4.129925,0.2380,0.0020,-0.0940,0.256
4.132848,0.2420,-0.0310,-0.1150,0.270
4.136171,0.2700,-0.0190,-0.1140,0.294
4.137932,0.2960,0.0020,-0.0890,0.309
4.140205,0.3140,-0.0140,-0.1030,0.331
4.142551,0.3230,-0.0480,-0.1060,0.343
4.145257,0.3540,-0.0390,-0.1100,0.373
4.147828,0.3220,-0.0240,-0.1090,0.341
4.150217,0.3620,-0.0320,-0.1150,0.381
4.152530,0.3140,-0.0110,-0.1350,0.342
4.155498,0.3110,-0.0490,-0.1180,0.336
4.159112,0.2990,-0.0180,-0.1740,0.346
4.160611,0.2950,-0.0330,-0.2010,0.358
4.162973,0.2610,-0.0310,-0.2240,0.345
4.165157,0.2350,-0.0310,-0.2420,0.339
4.172667,0.2070,-0.0270,-0.2550,0.330
4.173778,0.2070,-0.0220,-0.2820,0.351
4.174335,0.1760,-0.0370,-0.2450,0.304
4.175251,0.1840,-0.0320,-0.2660,0.325
4.178791,0.1790,-0.0470,-0.2670,0.325
4.183586,0.1580,-0.0400,-0.3070,0.348
4.184266,0.1210,-0.0330,-0.2460,0.276
4.185283,0.1120,-0.0140,-0.3000,0.321
